taskId,taskPri,es,le,lastTime,satellite,class
0,7,36,98,49,卫星-76,0
1,7,40,100,50,卫星-59,0
2,10,40,92,41,卫星-131,1
3,1,43,109,50,卫星-49,1
4,1,45,97,40,卫星-59,0
5,6,47,122,47,卫星-59,0
6,1,47,117,49,卫星-58,1
7,3,51,115,50,卫星-58,0
8,6,55,122,46,卫星-59,0
9,6,60,125,48,卫星-38,0
10,10,72,137,42,卫星-165,0
11,3,85,148,43,卫星-59,1
12,9,85,144,44,卫星-147,1
13,6,86,164,50,卫星-49,1
14,9,97,165,48,卫星-48,1
15,1,98,167,44,卫星-147,1
16,2,100,156,46,卫星-67,1
17,4,100,168,40,卫星-164,1
18,2,101,164,41,卫星-156,0
19,9,107,184,50,卫星-49,1
20,9,118,175,40,卫星-59,0
21,5,130,188,45,卫星-49,1
22,1,140,196,40,卫星-58,1
23,8,145,211,43,卫星-75,0
24,6,151,213,48,卫星-38,0
25,9,153,221,43,卫星-155,1
26,1,162,234,49,卫星-66,1
27,9,165,223,42,卫星-140,0
28,6,172,239,47,卫星-155,0
29,7,179,239,42,卫星-155,1
30,7,206,266,47,卫星-155,0
31,1,216,291,47,卫星-140,1
32,3,231,296,49,卫星-156,0
33,2,233,304,42,卫星-138,0
34,7,252,313,48,卫星-155,0
35,4,257,332,47,卫星-147,1
36,3,275,335,45,卫星-140,0
37,10,295,357,46,卫星-147,1
38,2,301,372,50,卫星-38,0
39,4,307,365,45,卫星-140,1
40,5,309,380,47,卫星-75,1
41,5,314,376,47,卫星-140,1
42,10,331,393,49,卫星-75,1
43,10,342,410,43,卫星-58,1
44,2,343,407,40,卫星-164,1
45,7,354,419,42,卫星-75,0
46,5,357,431,48,卫星-156,0
47,2,360,440,50,卫星-147,1
48,1,363,425,46,卫星-164,1
49,2,367,432,49,卫星-156,1
50,5,371,431,47,卫星-75,0
51,2,379,445,43,卫星-48,1
52,8,381,441,46,卫星-67,0
53,3,390,450,41,卫星-49,0
54,7,391,465,47,卫星-38,1
55,10,422,486,42,卫星-155,0
56,1,431,504,50,卫星-75,1
