taskId,taskPri,es,le,lastTime,satellite,class
0,10,4,64,43,卫星-59,1
1,2,9,72,49,卫星-59,1
2,1,10,70,49,卫星-59,0
3,8,12,74,48,卫星-165,1
4,5,15,86,47,卫星-38,1
5,1,16,83,45,卫星-59,1
6,6,26,78,40,卫星-49,1
7,2,28,88,40,卫星-59,0
8,7,29,106,48,卫星-164,1
9,2,32,95,49,卫星-139,1
10,7,35,99,49,卫星-59,0
11,7,56,129,45,卫星-49,0
12,8,58,127,41,卫星-75,1
13,6,65,128,42,卫星-58,1
14,7,69,140,43,卫星-59,0
15,7,78,143,42,卫星-58,1
16,5,81,145,50,卫星-59,0
17,10,84,156,47,卫星-59,1
18,1,93,160,41,卫星-58,1
19,1,94,167,46,卫星-164,1
20,9,98,158,45,卫星-164,1
21,6,101,173,50,卫星-165,0
22,1,111,170,42,卫星-59,0
23,10,117,172,43,卫星-164,1
24,10,117,172,41,卫星-147,0
25,2,130,186,43,卫星-131,1
26,1,134,189,45,卫星-147,1
27,9,138,195,47,卫星-138,0
28,4,143,209,48,卫星-139,1
29,5,154,206,41,卫星-76,0
30,7,167,230,47,卫星-138,1
31,4,189,247,48,卫星-66,0
32,3,194,271,47,卫星-147,1
33,10,195,255,43,卫星-138,0
34,8,196,264,49,卫星-165,0
35,2,201,272,45,卫星-48,1
36,5,215,278,43,卫星-165,1
37,6,218,280,49,卫星-164,0
38,4,224,285,50,卫星-147,0
39,5,231,296,48,卫星-139,1
40,3,251,324,43,卫星-147,1
41,5,262,329,50,卫星-140,1
42,9,269,338,43,卫星-49,0
43,8,271,334,43,卫星-66,1
44,8,271,333,40,卫星-147,0
45,7,278,344,46,卫星-156,0
46,4,279,336,47,卫星-155,1
47,10,281,346,47,卫星-38,1
48,2,284,357,50,卫星-58,0
49,7,289,368,50,卫星-140,0
50,8,296,356,41,卫星-67,0
51,4,296,361,46,卫星-147,1
52,6,297,369,44,卫星-164,0
53,4,303,364,42,卫星-76,0
54,5,323,381,48,卫星-49,1
55,10,323,388,46,卫星-58,1
56,6,327,398,42,卫星-75,0
57,8,336,395,46,卫星-48,0
58,2,341,406,48,卫星-164,0
59,4,348,413,44,卫星-138,0
60,6,354,429,45,卫星-76,0
61,2,354,429,48,卫星-75,0
62,7,362,425,46,卫星-164,1
63,7,365,432,46,卫星-58,0
64,3,365,434,47,卫星-147,0
65,10,374,442,43,卫星-138,1
66,10,385,452,46,卫星-138,0
67,9,397,463,46,卫星-38,0
68,9,409,463,41,卫星-155,0
69,7,420,479,44,卫星-48,1
70,4,426,480,43,卫星-48,0
71,6,429,495,47,卫星-75,0
72,5,447,514,45,卫星-38,1
73,4,458,527,46,卫星-38,0
74,5,458,524,47,卫星-147,1
75,10,477,537,42,卫星-49,1
76,4,501,577,48,卫星-147,0
77,6,515,567,42,卫星-76,0
78,8,517,572,40,卫星-147,0
79,10,520,575,41,卫星-49,1
80,4,520,590,44,卫星-58,0
81,2,539,610,49,卫星-58,0
82,1,542,605,50,卫星-66,1
83,1,543,612,48,卫星-147,1
84,9,548,621,43,卫星-155,1
85,4,563,643,50,卫星-164,1
86,10,571,637,48,卫星-131,0
87,1,583,649,45,卫星-75,1
88,10,586,656,45,卫星-49,0
89,4,588,641,40,卫星-38,0
90,3,589,652,49,卫星-131,1
91,5,595,659,49,卫星-47,1
92,4,597,650,42,卫星-66,0
93,10,600,670,49,卫星-147,0
94,6,605,670,50,卫星-139,1
95,6,611,665,41,卫星-147,0
96,3,611,671,44,卫星-155,0
97,8,617,686,43,卫星-147,0
98,7,624,688,49,卫星-138,1
99,8,627,686,41,卫星-76,1
100,7,627,695,49,卫星-47,1
101,8,629,690,46,卫星-139,1
102,2,644,712,43,卫星-164,1
103,10,646,705,48,卫星-75,1
104,5,647,720,50,卫星-67,1
105,5,647,722,50,卫星-147,1
106,9,647,717,40,卫星-147,0
107,4,649,708,46,卫星-38,1
108,8,650,710,44,卫星-47,1
109,6,654,729,49,卫星-138,0
110,3,655,730,50,卫星-58,1
111,3,657,725,41,卫星-75,1
112,4,658,721,44,卫星-47,0
113,8,667,733,43,卫星-156,0
114,7,671,741,40,卫星-155,0
115,1,674,742,44,卫星-58,0
116,9,690,756,45,卫星-147,1
117,1,712,784,43,卫星-147,0
118,3,714,769,42,卫星-48,0
119,2,719,790,49,卫星-58,0
120,6,720,791,50,卫星-164,0
121,1,723,798,50,卫星-58,1
122,9,725,798,46,卫星-57,0
123,10,728,786,44,卫星-38,1
124,10,738,809,50,卫星-48,0
125,8,746,812,46,卫星-58,1
126,2,760,816,43,卫星-58,1
127,3,763,836,48,卫星-164,1
128,5,765,816,40,卫星-58,1
129,4,767,836,40,卫星-58,0
130,3,768,826,43,卫星-38,0
131,2,784,860,48,卫星-138,0
132,3,789,850,41,卫星-147,1
133,10,791,855,46,卫星-65,1
134,10,795,872,49,卫星-66,0
135,5,805,865,41,卫星-47,1
136,1,822,875,43,卫星-38,0
137,9,826,893,44,卫星-57,0
138,7,839,910,43,卫星-75,0
139,4,853,922,42,卫星-65,1
140,4,862,938,50,卫星-38,0
141,3,868,926,40,卫星-155,0
142,10,871,937,48,卫星-147,0
143,3,885,954,43,卫星-47,0
144,1,894,953,42,卫星-58,1
145,5,897,972,46,卫星-47,1
146,10,907,974,42,卫星-75,1
147,8,908,972,40,卫星-155,0
148,6,911,968,47,卫星-139,0
149,9,912,989,47,卫星-47,1
150,6,926,987,43,卫星-47,0
151,7,930,1005,46,卫星-155,1
152,6,931,997,49,卫星-147,1
153,10,937,1005,43,卫星-58,0
154,7,939,1006,50,卫星-58,0
155,5,941,1019,49,卫星-75,0
156,6,952,1019,49,卫星-138,0
157,2,959,1016,44,卫星-48,1
158,9,966,1030,41,卫星-147,1
159,2,972,1034,44,卫星-65,1
160,2,988,1046,46,卫星-48,1
161,9,996,1068,43,卫星-146,1
162,6,1007,1077,41,卫星-138,0
163,8,1014,1088,49,卫星-147,0
164,5,1024,1093,43,卫星-66,0
165,7,1038,1095,43,卫星-164,0
166,3,1042,1098,44,卫星-147,1
167,7,1043,1110,47,卫星-47,1
168,6,1048,1106,46,卫星-57,0
169,9,1057,1136,50,卫星-164,1
170,5,1082,1137,41,卫星-57,0
171,6,1090,1149,42,卫星-155,0
172,10,1092,1146,44,卫星-155,1
173,8,1096,1151,45,卫星-4,0
174,10,1099,1164,49,卫星-75,1
175,1,1103,1176,50,卫星-4,1
176,2,1113,1181,47,卫星-65,1
177,10,1114,1183,41,卫星-75,0
178,5,1119,1176,42,卫星-155,0
179,7,1139,1210,47,卫星-65,1
180,4,1141,1210,50,卫星-155,1
181,7,1148,1215,43,卫星-146,0
182,1,1163,1227,41,卫星-57,0
183,5,1170,1250,50,卫星-57,1
